Keyword,Global Monthly Searches,Estimated Avg. CPC (£),Estimated Ad Position,Estimated Daily Clicks,Estimated Daily Cost (£),Local Monthly Searches
secure online back up,-,0.00,0,0,0.00,-
agile management software,3600,1.20,1.05,9.49,11.37,1600
crm for financial,3600,0.00,0,0,0.00,1900
disaster recovery planning for it,40500,0.00,0,0,0.00,14800
tracking a vehicle,135000,2.10,1.05,5.06,10.64,33100
applications in the cloud,49500,0.00,0,0,0.00,18100
project management with scrum,8100,0.00,0,0,0.00,2400
servers for businesses,4400,0.00,0,0,0.00,2400
android application developers,9900,0.00,0,0,0.00,3600
android app developers,8100,1.05,1.05,41.72,43.72,2900
training for indesign,14800,0.00,0,0,0.00,3600
teach yourself web development,91,0.00,0,0,0.00,46
web applications developers,2400,0.00,0,0,0.00,590
android application developer,49500,1.28,1.05,66.22,85.07,9900
android app developer,12100,1.00,1.05,63.57,63.64,4400
app developer android,12100,0.00,0,0,0.00,4400
android developer app,12100,0.00,0,0,0.00,4400
mobile applications developers,8100,0.57,1.05,9.74,5.52,2900
design for programmers,33100,0.00,0,0,0.00,12100
cloud computing for dummies,8100,0.00,0,0,0.00,2400
android application development uk,210,0.00,0,0,0.00,0
web design and marketing solutions for business websites,73,0.00,0,0,0.00,22
developers mobile applications,8100,0.00,0,0,0.00,2900
training indesign,14800,0.00,0,0,0.00,3600
apps development,246000,1.05,1.05,25.78,27.16,90500
computing for dummies,8100,0.00,0,0,0.00,2900
bpp learning management system,110,0.00,0,0,0.00,-
mobile apps developers,1900,2.34,1.05,9.33,21.86,720
joomla designers,6600,0.68,1.05,5.99,4.08,1600
best pay as you go sim card,720,0.00,0,0,0.00,36
locks and locksmithing,14800,0.00,0,0,0.00,8100
development of mobile,246000,0.00,0,0,0.00,74000
android app development software,1600,0.00,0,0,0.00,590
best pay as you go sims,390,0.00,0,0,0.00,0
cheap pay as you go sim,1600,0.00,0,0,0.00,36
app development for android,60500,0.00,0,0,0.00,22200
best pay as you go sim,5400,0.00,0,0,0.00,91
android development app,60500,0.00,0,0,0.00,22200
android apps development,49500,3.96,1.05,51.49,204.07,18100
android development apps,49500,0.00,0,0,0.00,18100
team building companies uk,58,0.00,0,0,0.00,-
mobile design and development,8100,0.00,0,0,0.00,1900
pay as you go sim card only,170,0.00,0,0,0.00,16
training for mcse,14800,0.00,0,0,0.00,3600
ink 8560,3600,0.00,0,0,0.00,1900
sim card only pay as you go,170,0.00,0,0,0.00,16
micro stock photo sites,58,0.00,0,0,0.00,28
pay as you go sim offers,5400,0.00,0,0,0.00,22
sim card deals pay as you go,720,0.00,0,0,0.00,0
cheap mobile sim card,320,0.00,0,0,0.00,73
itil v3 foundations certification,4400,0.00,0,0,0.00,1600
make money with stock photography,720,0.00,0,0,0.00,390
uk stock photography,1000,0.00,0,0,0.00,73
options for investment,49500,0.00,0,0,0.00,18100
android developer apps,6600,0.00,0,0,0.00,1600
make money stock photography,720,0.00,0,0,0.00,390
photographers stock,2900,0.00,0,0,0.00,1300
cards games for kids,8100,0.00,0,0,0.00,2900
contracts in a nutshell,260,0.00,0,0,0.00,140
google android application development,1600,0.00,0,0,0.00,390
deal or no deal interactive,590,0.00,0,0,0.00,210
stock photographers,2900,0.00,0,0,0.00,1300
computing for idiots,140,0.00,0,0,0.00,28
make money stock photos,880,0.00,0,0,0.00,480
google android apps development,390,0.00,0,0,0.00,110
mobile sim card uk,1000,0.00,0,0,0.00,140
sim card for uk,18100,0.79,1.05,9.44,7.49,2400
play no deal or deal,27100,0.00,0,0,0.00,9900
realtime tracking device,1600,2.52,1.05,5.98,15.03,880
small company websites,1900,0.00,0,0,0.00,1300
team building activities uk,210,0.00,0,0,0.00,16
pay as you go sim uk,2400,0.00,0,0,0.00,210
the glaze book,1000,0.00,0,0,0.00,320
training in sql,60500,0.00,0,0,0.00,22200
android application development tools,2900,0.00,0,0,0.00,880
uk mobile sim card,1000,0.00,0,0,0.00,140
buy uk sim card,880,0.00,0,0,0.00,140
c5650 toner,1600,0.00,0,0,0.00,73
database driven web page,2400,0.00,0,0,0.00,880
cost of sim card,12100,0.00,0,0,0.00,4400
database driven web,5400,0.00,0,0,0.00,1600
microsoft access 2010 training,1300,0.00,0,0,0.00,720
3g broadband router,6600,0.00,0,0,0.00,1000
sim card in uk,18100,0.00,0,0,0.00,2400
cheap ink cartridges brother,480,0.00,0,0,0.00,210
google android app development,590,2.50,1.05,13.19,33.01,260
stock photography books,390,0.00,0,0,0.00,210
google android app developer,390,0.00,0,0,0.00,170
pre pay sim,4400,0.00,0,0,0.00,1600
pre pay sim card,1900,0.00,0,0,0.00,1000
international mobile broadband pay as you go,28,0.00,0,0,0.00,-
learning sql server 2008,1900,0.00,0,0,0.00,390
cheap ink for brother printer,320,0.00,0,0,0.00,140
buy pay as you go sim card,320,0.00,0,0,0.00,58
pay as you go sim card,22200,0.20,1.05,8.54,1.74,2900
pay as go sim,74000,0.00,0,0,0.00,4400
solar power and home,90500,0.00,0,0,0.00,49500
developing mobile application,8100,0.78,1.05,7.4,5.75,1900
sim card pay,27100,0.00,0,0,0.00,4400
solar for your home,22200,0.00,0,0,0.00,12100
notebook laptops,9140000,0.93,1.05,4.51,4.19,1500000
notebooks and laptops,9140000,0.00,0,0,0.00,1500000
notebooks & laptops,9140000,0.00,0,0,0.00,1500000
notebooks and laptop,7480000,0.00,0,0,0.00,1830000
mobile phones mobile phone,-,0.00,0,0,0.00,-
laptop or notebook,7480000,0.00,0,0,0.00,1500000
laptop and notebook,7480000,0.00,0,0,0.00,1500000
is a notebook a laptop,7480000,0.00,0,0,0.00,1500000
tv or lcd,5000000,0.00,0,0,0.00,823000
dress prom dress,3350000,0.00,0,0,0.00,2240000
digital cameras digital cameras,3350000,0.00,0,0,0.00,1000000
dress prom dresses,3350000,0.00,0,0,0.00,1830000
digital camera digital cameras,2740000,0.00,0,0,0.00,823000
and the wardrobe,3350000,0.00,0,0,0.00,1000000
dual sim dual,3350000,0.00,0,0,0.00,49500
canon powershot,2240000,0.69,1.05,305.59,210.86,550000
canon canon powershot,2240000,0.00,0,0,0.00,550000
of the vanities,2240000,0.00,0,0,0.00,1220000
lumix by panasonic,1830000,0.00,0,0,0.00,301000
camera with camcorder,1220000,1.65,1.05,8.28,13.65,550000
best phones,1830000,2.50,1.05,14.9,37.29,673000
kinect for xbox,1220000,0.00,0,0,0.00,368000
canon canon camera,1830000,0.00,0,0,0.00,550000
g shock g,1830000,0.00,0,0,0.00,550000
canon pixma,1830000,0.72,1.05,173.93,125.63,246000
panasonic dmc,1500000,1.31,1.05,56.35,73.67,201000
tv 32 in,1500000,0.00,0,0,0.00,301000
coolpix nikon,1830000,0.50,1.05,11.12,5.60,450000
nikon coolpix,1830000,0.57,1.05,739.32,424.35,450000
lumix dmc,1220000,0.00,0,0,0.00,165000
ixus i,1220000,0.00,0,0,0.00,27100
ink for cartridges,1220000,0.00,0,0,0.00,550000
ink cartridges for,1220000,0.00,0,0,0.00,550000
ink cartridges,1220000,2.53,1.05,558.35,"1,410.32",550000
hidden object,1500000,0.56,1.05,81.92,45.80,450000
cartridge and ink,1220000,0.00,0,0,0.00,550000
ink for cartridge,1220000,0.00,0,0,0.00,550000
ink & cartridge,1220000,0.00,0,0,0.00,550000
dr martens,1500000,0.56,1.05,376.69,211.46,368000
camcorders with camera,1000000,0.00,0,0,0.00,450000
camera and camcorders,1000000,0.00,0,0,0.00,450000
ink for print,1000000,0.00,0,0,0.00,550000
and mens clothing,1220000,0.00,0,0,0.00,550000
samsung phones,1220000,1.07,1.05,633.6,680.20,246000
fujifilm finepix,1220000,0.50,1.05,53.15,26.74,165000
finepix fujifilm,1220000,0.00,0,0,0.00,165000
canon with lens,1220000,0.00,0,0,0.00,450000
canon lens lens,1220000,0.00,0,0,0.00,450000
hdmi cable hdmi,1220000,0.00,0,0,0.00,450000
a movie camera,1000000,0.00,0,0,0.00,368000
the movie camera,1000000,0.00,0,0,0.00,368000
toner and cartridges,1000000,0.00,0,0,0.00,450000
razors shavers,1000000,0.00,0,0,0.00,550000
the canon 5d,1220000,0.00,0,0,0.00,301000
shavers razors,1000000,0.00,0,0,0.00,550000
canon 5d,1220000,0.53,1.05,177.3,93.76,301000
dmc panasonic lumix,1000000,0.00,0,0,0.00,135000
the nikon d90,823000,0.00,0,0,0.00,135000
clothing for cheap,1000000,2.97,1.05,7.73,22.95,550000
i station docking station,1000000,0.00,0,0,0.00,368000
pc notebook,1000000,1.09,1.05,42.46,46.20,201000
a wrinkle in,1000000,0.00,0,0,0.00,550000
ink cartridges toner cartridges,823000,0.00,0,0,0.00,368000
canon is cameras,1000000,14.82,1.05,16.1,238.55,368000
canon cameras,1000000,2.07,1.05,1292.04,"2,678.92",368000
photos stock,823000,2.27,1.05,139.1,315.79,368000
nikon camera,1000000,0.74,1.05,606.57,448.09,301000
phones and prices,1000000,0.00,0,0,0.00,49500
dvd to dvd recorder,823000,0.00,0,0,0.00,201000
toner print cartridge,823000,0.00,0,0,0.00,368000
hdmi to hdmi cables,823000,0.32,1.05,62.34,20.26,368000
blu ray players,823000,0.50,1.05,45.82,23.05,368000
bluray players,823000,0.00,0,0,0.00,301000
lcd and hd,550000,0.00,0,0,0.00,165000
watch mens watch,823000,0.00,0,0,0.00,450000
hard disk drives external,823000,0.00,0,0,0.00,368000
cannon and camera,-,0.00,0,0,0.00,-
used it books,673000,0.00,0,0,0.00,550000
tv samsung led,1000000,0.00,0,0,0.00,135000
led tv by samsung,1000000,0.00,0,0,0.00,135000
printer ink for,823000,0.96,1.05,3.25,3.10,368000
printer with ink,823000,0.00,0,0,0.00,368000
printer and ink,823000,0.00,0,0,0.00,368000
dresses for kids,673000,0.48,1.05,26.64,12.68,368000
notebook samsung,1220000,0.00,0,0,0.00,74000
powershot sx,673000,0.00,0,0,0.00,110000
wedding shoes shoes,823000,0.00,0,0,0.00,368000
the best laptops,823000,1.91,1.05,32.26,61.47,368000
shoes wedding,823000,0.00,0,0,0.00,368000
dresses maxi,823000,0.40,1.05,9.98,4.00,301000
laptop battery for,823000,0.00,0,0,0.00,301000
detector metal metal detector,-,0.00,0,0,0.00,-
phone pay as,-,0.00,0,0,0.00,-
watches for mens,673000,0.00,0,0,0.00,368000
kinect on xbox 360,673000,0.00,0,0,0.00,165000
kinect for xbox 360,673000,0.52,1.05,31.1,16.14,165000
security and camera,673000,0.00,0,0,0.00,450000
camera for security,673000,0.50,1.05,20.38,10.25,450000
lcd monitors,550000,0.64,1.05,63.53,40.40,135000
duvet and duvet covers,673000,0.00,0,0,0.00,368000
jon bon jovi dead,40500,0.00,0,0,0.00,27100
kardashian christmas card,27100,0.00,0,0,0.00,22200
49ers,1830000,0.00,0,0,0.00,1500000
steelers,1830000,0.00,0,0,0.00,1500000
dark knight rises trailer,301000,0.00,0,0,0.00,201000
san francisco 49ers,301000,2.50,1.05,51.01,127.65,246000
ben roethlisberger,135000,0.00,0,0,0.00,135000
pittsburgh steelers,450000,2.50,1.05,286.88,717.92,450000
snooki,1830000,0.00,0,0,0.00,1220000
clippers,2240000,2.50,1.05,325.65,814.95,1220000
49ers news,33100,0.00,0,0,0.00,33100
lakers,2740000,2.50,1.05,21.02,52.61,1830000
james harrison,110000,2.50,1.05,2.96,7.40,90500
martial law,165000,0.00,0,0,0.00,90500
antonio brown,40500,0.50,1.05,3.09,1.55,33100
gpa calculator,673000,0.50,1.05,22.8,11.47,550000
johnny knox,40500,0.00,0,0,0.00,33100
yu darvish,110000,0.00,0,0,0.00,74000
kobe bryant,1500000,0.00,0,0,0.00,823000
lil kim,673000,2.50,1.05,4.97,12.44,368000
justin bieber,37200000,0.58,1.05,14.67,8.53,7480000
shakira,13600000,2.50,1.05,3.05,7.63,823000
eminem,13600000,2.50,1.05,21.32,53.35,3350000
netflix,30400000,0.50,1.05,52567.12,"26,463.49",24900000
youtube videos,30400000,0.61,1.05,626.99,383.08,3350000
lady gaga,20400000,0.00,0,0,0.00,4090000
kesha,2740000,0.00,0,0,0.00,823000
nicki minaj,11100000,0.50,1.05,372.5,187.38,5000000
grooveshark,9140000,2.50,1.05,27.05,67.69,2240000
transformers 3,7480000,0.50,1.05,3.96,1.99,1000000
mundial 2010,246000,0.00,0,0,0.00,2900
olympics,7480000,3.14,1.05,125.17,393.40,2240000
espn3,1500000,0.00,0,0,0.00,1500000
fifa 11,4090000,0.00,0,0,0.00,201000
randy moss,201000,0.00,0,0,0.00,165000
miami heat,1220000,2.50,1.05,48.3,120.88,823000
mourinho,1000000,0.00,0,0,0.00,49500
wayne rooney,550000,0.00,0,0,0.00,74000
cricket live score,2240000,0.00,0,0,0.00,40500
david villa,550000,0.00,0,0,0.00,40500
ipad,55600000,0.79,1.05,7991.55,"6,340.07",16600000
iphone 4,37200000,0.82,1.05,6340.96,"5,204.37",7480000
nokia 5530,1500000,0.00,0,0,0.00,9900
htc evo 4g,450000,1.12,1.05,299.22,335.93,301000
nokia n900,550000,0.88,1.05,46.02,40.68,22200
blackberry apps,1220000,2.50,1.05,53.52,133.93,201000
duracell mygrid,8100,0.00,0,0,0.00,2400
트위터,368000,0.00,0,0,0.00,14800
otterbox,1500000,0.84,1.05,1713.45,"1,444.62",1000000
pdanet,450000,0.00,0,0,0.00,201000
masterchef,2740000,0.50,1.05,2.89,1.45,246000
食べログ,1220000,0.00,0,0,0.00,2400
cupcakes,9140000,0.55,1.05,1143.48,628.06,4090000
jimmy johns,1500000,0.51,1.05,2841,"1,438.53",1500000
как жрать суши,49500,0.00,0,0,0.00,210
dominos pizza menu,165000,0.78,1.05,257.07,199.29,33100
tudo gostoso receitas,40500,0.00,0,0,0.00,260
guacamole recipe,201000,2.50,1.05,103.06,257.92,135000
applebees menu,201000,0.55,1.05,26.19,14.46,201000
rachel ray,1000000,2.50,1.05,8.36,20.92,1000000
anhembi parque,8100,0.00,0,0,0.00,210
wm gucken,1000,0.00,0,0,0.00,73
world cup,11100000,2.50,1.05,26.81,67.10,1830000
bundeskanzleramt,33100,0.00,0,0,0.00,320
rio branco,550000,0.00,0,0,0.00,2900
mt everest,450000,2.50,1.05,3.04,7.60,201000
kew gardens,201000,0.00,0,0,0.00,49500
tour eiffel,1000000,0.00,0,0,0.00,27100
