lawyer,13600000,1.51,1,2376.52,"3,586.38",7480000
accident car florida lawyer,2900,0.00,0,0,0.00,1900
criminal defense federal lawyer,2400,0.00,0,0,0.00,1900
miami personal injury lawyer,6600,0.00,0,0,0.00,4400
san diego dui lawyer,4400,0.00,0,0,0.00,4400
celebrex lawyer,1600,0.00,0,0,0.00,320
new york personal injury lawyer,18100,32.51,1,8.79,285.95,12100
accident lawyer michigan,2900,0.00,0,0,0.00,2400
criminal lawyer new york,8100,1.24,1,3.72,4.59,6600
chicago personal injury lawyer,9900,7.56,1,18.01,136.11,8100
los angeles dui lawyer,8100,2.43,1,17.54,42.56,8100
angeles criminal defense lawyer los,6600,0.00,0,0,0.00,6600
irs lawyer tax,2900,0.00,0,0,0.00,2400
criminal dallas lawyer,6600,0.00,0,0,0.00,5400
injury lawyer new york,22200,0.00,0,0,0.00,18100
angeles criminal lawyer los,18100,0.00,0,0,0.00,18100
dui florida lawyer,6600,0.00,0,0,0.00,4400
