ink 8560,3600,0.00,0,0,0.00,2400
cheap ink cartridges brother,480,0.00,0,0,0.00,210
cheap ink for brother printer,320,0.00,0,0,0.00,170
ink for cartridges,1220000,0.93,1.05,7.19,6.71,550000
ink cartridges for,1220000,0.00,0,0,0.00,550000
ink cartridges,1220000,3.68,1.05,818.73,"3,014.17",550000
cartridge and ink,1220000,0.00,0,0,0.00,550000
ink for cartridge,1220000,0.00,0,0,0.00,550000
ink & cartridge,1220000,0.00,0,0,0.00,550000
ink for print,1220000,0.00,0,0,0.00,550000
a wrinkle in,1000000,0.00,0,0,0.00,550000
ink cartridges toner cartridges,823000,0.00,0,0,0.00,368000
printer ink for,823000,0.00,0,0,0.00,368000
printer with ink,823000,0.00,0,0,0.00,368000
printer and ink,823000,0.00,0,0,0.00,368000
